wkt,latitude,longitude
227,3956.3641N,11624.4724E
240,3956.3751N,11624.4901E
249,3956.3758N,11624.4991E
256,3956.3759N,11624.5063E
261,3956.3765N,11624.5089E
264,3956.3753N,11624.5082E
267,3956.3749N,11624.5067E
269,3956.3733N,11624.5064E
270,3956.3727N,11624.5065E
270,3956.3725N,11624.507E
270,3956.3724N,11624.5074E
270,3956.3723N,11624.5078E
270,3956.3722N,11624.508E
269,3956.372N,11624.508E
269,3956.3718N,11624.508E
268,3956.3715N,11624.5078E
268,3956.3715N,11624.5079E
267,3956.3711N,11624.5077E
266,3956.3707N,11624.5074E
265,3956.3704N,11624.5073E
265,3956.3704N,11624.5073E
264,3956.3703N,11624.5074E
263,3956.37N,11624.507E
262,3956.3696N,11624.5067E
262,3956.3693N,11624.5066E
261,3956.3693N,11624.5067E
260,3956.3694N,11624.507E
260,3956.3695N,11624.5074E
259,3956.3695N,11624.5077E
258,3956.3695N,11624.5077E
258,3956.3696N,11624.5079E
257,3956.3696N,11624.5078E
257,3956.3695N,11624.5078E
256,3956.3694N,11624.5077E
256,3956.3693N,11624.5078E
255,3956.3695N,11624.5079E
255,3956.3696N,11624.5079E
254,3956.3695N,11624.508E
254,3956.3694N,11624.5079E
253,3956.3696N,11624.5079E
252,3956.3698N,11624.5079E
252,3956.3699N,11624.508E
251,3956.37N,11624.508E
251,3956.3702N,11624.508E
250,3956.3703N,11624.508E
250,3956.3704N,11624.508E
249,3956.3704N,11624.5079E
249,3956.3703N,11624.5079E
248,3956.3702N,11624.5079E
248,3956.3699N,11624.5076E
247,3956.3697N,11624.5075E
247,3956.3693N,11624.5071E
246,3956.3686N,11624.5067E
246,3956.3679N,11624.5061E
246,3956.3674N,11624.5056E
245,3956.3663N,11624.5043E
245,3956.3659N,11624.5039E
245,3956.3657N,11624.5036E
244,3956.3658N,11624.5036E
244,3956.3661N,11624.5038E
243,3956.3663N,11624.504E
243,3956.3664N,11624.5042E
243,3956.3665N,11624.5044E
243,3956.3668N,11624.5044E
242,3956.3671N,11624.5044E
242,3956.3674N,11624.5043E
242,3956.3674N,11624.5039E
241,3956.3675N,11624.5037E
241,3956.3676N,11624.5036E
241,3956.3676N,11624.5034E
241,3956.3675N,11624.5032E
240,3956.3676N,11624.5031E
240,3956.3676N,11624.503E
240,3956.368N,11624.5033E
240,3956.3681N,11624.5033E
239,3956.3683N,11624.5034E
239,3956.3685N,11624.5033E
239,3956.3686N,11624.5032E
239,3956.3688N,11624.5032E
239,3956.3689N,11624.5031E
239,3956.3691N,11624.5031E
238,3956.3694N,11624.5031E
238,3956.3697N,11624.5032E
238,3956.3699N,11624.5032E
238,3956.3701N,11624.5033E
238,3956.3703N,11624.5034E
237,3956.3705N,11624.5036E
237,3956.3708N,11624.5038E
237,3956.3708N,11624.504E
237,3956.3708N,11624.5041E
237,3956.3707N,11624.504E
236,3956.3705N,11624.5039E
236,3956.3704N,11624.5038E
236,3956.3703N,11624.5038E
236,3956.3702N,11624.5039E
235,3956.3701N,11624.504E
235,3956.37N,11624.504E
235,3956.3701N,11624.5042E
235,3956.3702N,11624.5045E
235,3956.3704N,11624.5048E
235,3956.3707N,11624.5051E
236,3956.3709N,11624.5054E
236,3956.3712N,11624.5057E
237,3956.3714N,11624.5059E
237,3956.3716N,11624.5061E
237,3956.3717N,11624.5062E
237,3956.3718N,11624.5063E
238,3956.3719N,11624.5064E
238,3956.3722N,11624.5067E
238,3956.3724N,11624.5069E
238,3956.3725N,11624.5071E
238,3956.3723N,11624.5069E
239,3956.3723N,11624.5068E
239,3956.3724N,11624.5067E
239,3956.3725N,11624.5067E
239,3956.3726N,11624.5067E
239,3956.3728N,11624.5069E
239,3956.373N,11624.507E
239,3956.3731N,11624.5071E
239,3956.3733N,11624.5073E
239,3956.3737N,11624.5076E
239,3956.374N,11624.5078E
239,3956.3742N,11624.508E
239,3956.3744N,11624.5082E
239,3956.3746N,11624.5084E
239,3956.3747N,11624.5086E
239,3956.3749N,11624.5088E
239,3956.3752N,11624.5091E
239,3956.3754N,11624.5093E
239,3956.3756N,11624.5096E
239,3956.3757N,11624.5097E
239,3956.3758N,11624.5099E
238,3956.3759N,11624.5101E
238,3956.3759N,11624.5102E
238,3956.3759N,11624.5103E
238,3956.3758N,11624.5105E
238,3956.3757N,11624.5105E
238,3956.3755N,11624.5104E
237,3956.3755N,11624.5105E
237,3956.3754N,11624.5105E
237,3956.3753N,11624.5104E
237,3956.3753N,11624.5104E
237,3956.3752N,11624.5103E
237,3956.3753N,11624.51E
237,3956.3751N,11624.5098E
237,3956.3748N,11624.5094E
237,3956.3746N,11624.5091E
237,3956.3744N,11624.5087E
237,3956.3743N,11624.5084E
237,3956.3741N,11624.5079E
237,3956.3741N,11624.5077E
237,3956.3741N,11624.5076E
237,3956.3739N,11624.5074E
237,3956.3738N,11624.5073E
237,3956.3734N,11624.5068E
237,3956.3731N,11624.5063E
237,3956.3728N,11624.5057E
237,3956.3723N,11624.505E
237,3956.372N,11624.5045E
237,3956.3716N,11624.504E
237,3956.3714N,11624.5036E
237,3956.3711N,11624.5032E
237,3956.3709N,11624.5028E
237,3956.3705N,11624.5022E
237,3956.3703N,11624.5019E
237,3956.3703N,11624.5018E
237,3956.3702N,11624.5016E
237,3956.3703N,11624.5017E
237,3956.3703N,11624.5017E
237,3956.3703N,11624.5017E
237,3956.3705N,11624.5021E
237,3956.3708N,11624.5024E
237,3956.3707N,11624.5024E
237,3956.3709N,11624.5027E
237,3956.3704N,11624.5022E
237,3956.3696N,11624.5013E
237,3956.369N,11624.5006E
237,3956.3681N,11624.4998E
236,3956.3676N,11624.4993E
236,3956.3673N,11624.4991E
236,3956.3673N,11624.4991E
236,3956.3675N,11624.4995E
236,3956.3675N,11624.4995E
236,3956.3674N,11624.4995E
236,3956.3669N,11624.4991E
236,3956.3668N,11624.4991E
236,3956.3664N,11624.4988E
235,3956.3664N,11624.4989E
235,3956.3661N,11624.4988E
235,3956.3655N,11624.4982E
235,3956.3654N,11624.4982E
235,3956.3652N,11624.4982E
234,3956.3652N,11624.498E
234,3956.3652N,11624.4978E
234,3956.3653N,11624.4979E
234,3956.3653N,11624.4979E
234,3956.3655N,11624.498E
234,3956.3654N,11624.4979E
234,3956.3656N,11624.498E
234,3956.3654N,11624.4978E
234,3956.3657N,11624.4982E
234,3956.3661N,11624.4986E
234,3956.3665N,11624.4991E
234,3956.3668N,11624.4995E
234,3956.367N,11624.4996E
235,3956.3683N,11624.5009E
235,3956.369N,11624.5016E
235,3956.3694N,11624.502E
235,3956.3697N,11624.5022E
234,3956.37N,11624.5027E
235,3956.3703N,11624.5031E
235,3956.3705N,11624.5034E
236,3956.3707N,11624.5036E
237,3956.3707N,11624.5037E
238,3956.3706N,11624.5037E
238,3956.3704N,11624.5036E
239,3956.3703N,11624.5037E
239,3956.3704N,11624.5039E
239,3956.3703N,11624.504E
239,3956.3702N,11624.5041E
240,3956.3702N,11624.5042E
240,3956.3701N,11624.5042E
240,3956.37N,11624.5042E
241,3956.3698N,11624.5041E
241,3956.3695N,11624.504E
241,3956.3694N,11624.504E
241,3956.3694N,11624.504E
241,3956.3693N,11624.504E
241,3956.3693N,11624.5041E
241,3956.3693N,11624.5041E
241,3956.3695N,11624.5041E
241,3956.3695N,11624.5042E
241,3956.3696N,11624.5043E
241,3956.3696N,11624.5043E
241,3956.3695N,11624.5044E
241,3956.369N,11624.5043E
241,3956.3686N,11624.5042E
241,3956.3684N,11624.5042E
241,3956.3683N,11624.5042E
241,3956.3682N,11624.5042E
241,3956.3683N,11624.5043E
241,3956.3684N,11624.5045E
241,3956.3689N,11624.5048E
241,3956.3693N,11624.5051E
242,3956.3696N,11624.5055E
242,3956.3697N,11624.5057E
243,3956.3697N,11624.5059E
244,3956.3699N,11624.5061E
246,3956.3699N,11624.5061E
263,3956.3698N,11624.506E
266,3956.3695N,11624.5054E
266,3956.3694N,11624.5049E
265,3956.3693N,11624.5044E
