'Lat','Long',
3956.3641,11624.4724,227
3956.3751,11624.4901,240
3956.3758,11624.4991,249
3956.3759,11624.5063,256
3956.3765,11624.5089,261
3956.3753,11624.5082,264
3956.3749,11624.5067,267
3956.3733,11624.5064,269
3956.3727,11624.5065,270
3956.3725,11624.507,270
3956.3724,11624.5074,270
3956.3723,11624.5078,270
3956.3722,11624.508,270
3956.372,11624.508,269
3956.3718,11624.508,269
3956.3715,11624.5078,268
3956.3715,11624.5079,268
3956.3711,11624.5077,267
3956.3707,11624.5074,266
3956.3704,11624.5073,265
3956.3704,11624.5073,265
3956.3703,11624.5074,264
3956.37,11624.507,263
3956.3696,11624.5067,262
3956.3693,11624.5066,262
3956.3693,11624.5067,261
3956.3694,11624.507,260
3956.3695,11624.5074,260
3956.3695,11624.5077,259
3956.3695,11624.5077,258
3956.3696,11624.5079,258
3956.3696,11624.5078,257
3956.3695,11624.5078,257
3956.3694,11624.5077,256
3956.3693,11624.5078,256
3956.3695,11624.5079,255
3956.3696,11624.5079,255
3956.3695,11624.508,254
3956.3694,11624.5079,254
3956.3696,11624.5079,253
3956.3698,11624.5079,252
3956.3699,11624.508,252
3956.37,11624.508,251
3956.3702,11624.508,251
3956.3703,11624.508,250
3956.3704,11624.508,250
3956.3704,11624.5079,249
3956.3703,11624.5079,249
3956.3702,11624.5079,248
3956.3699,11624.5076,248
3956.3697,11624.5075,247
3956.3693,11624.5071,247
3956.3686,11624.5067,246
3956.3679,11624.5061,246
3956.3674,11624.5056,246
3956.3663,11624.5043,245
3956.3659,11624.5039,245
3956.3657,11624.5036,245
3956.3658,11624.5036,244
3956.3661,11624.5038,244
3956.3663,11624.504,243
3956.3664,11624.5042,243
3956.3665,11624.5044,243
3956.3668,11624.5044,243
3956.3671,11624.5044,242
3956.3674,11624.5043,242
3956.3674,11624.5039,242
3956.3675,11624.5037,241
3956.3676,11624.5036,241
3956.3676,11624.5034,241
3956.3675,11624.5032,241
3956.3676,11624.5031,240
3956.3676,11624.503,240
3956.368,11624.5033,240
3956.3681,11624.5033,240
3956.3683,11624.5034,239
3956.3685,11624.5033,239
3956.3686,11624.5032,239
3956.3688,11624.5032,239
3956.3689,11624.5031,239
3956.3691,11624.5031,239
3956.3694,11624.5031,238
3956.3697,11624.5032,238
3956.3699,11624.5032,238
3956.3701,11624.5033,238
3956.3703,11624.5034,238
3956.3705,11624.5036,237
3956.3708,11624.5038,237
3956.3708,11624.504,237
3956.3708,11624.5041,237
3956.3707,11624.504,237
3956.3705,11624.5039,236
3956.3704,11624.5038,236
3956.3703,11624.5038,236
3956.3702,11624.5039,236
3956.3701,11624.504,235
3956.37,11624.504,235
3956.3701,11624.5042,235
3956.3702,11624.5045,235
